53	42	134	255
53	48	147	255
54	54	159	255
53	60	172	255
49	67	185	255
43	74	198	255
31	82	211	255
15	91	221	255
2	98	224	255
1	104	225	255
4	108	224	255
8	112	222	255
12	116	220	255
16	120	218	255
18	124	215	255
19	128	213	255
20	132	211	255
19	137	210	255
16	142	210	255
12	147	209	255
8	152	209	255
6	156	207	255
6	160	204	255
5	163	201	255
5	166	198	255
6	169	193	255
9	171	189	255
15	174	184	255
21	176	180	255
28	178	174	255
37	180	169	255
45	183	163	255
55	184	157	255
65	186	151	255
77	188	145	255
88	189	139	255
100	190	133	255
112	190	128	255
124	191	123	255
135	191	118	255
145	190	114	255
155	190	110	255
165	190	106	255
174	189	103	255
183	188	99	255
191	188	96	255
200	187	92	255
208	186	89	255
216	186	85	255
225	185	82	255
233	185	78	255
240	185	73	255
248	186	67	255
253	190	61	255
254	195	55	255
253	200	50	255
251	205	45	255
249	210	41	255
247	216	37	255
245	221	33	255
244	228	28	255
244	235	24	255
246	242	19	255
